break_value,accel_value,speed,timestamp
64.0,0.0,30.0,2024-04-12 07:49:20.503424+00:00
0.0,111.0,30.0,2024-04-12 07:49:21.577699+00:00
12.0,73.0,36.0,2024-04-12 07:49:22.394392+00:00
0.0,0.0,36.0,2024-04-12 07:49:23.426938+00:00
0.0,81.0,46.0,2024-04-12 07:49:24.444920+00:00
10.0,80.0,48.0,2024-04-12 07:49:25.468558+00:00
13.0,0.0,48.0,2024-04-12 07:49:26.499382+00:00
0.0,0.0,48.0,2024-04-12 07:49:27.374934+00:00
18.0,0.0,49.0,2024-04-12 07:49:28.442833+00:00
29.0,0.0,49.0,2024-04-12 07:49:29.569772+00:00
0.0,0.0,51.0,2024-04-12 07:49:30.492659+00:00
0.0,96.0,52.0,2024-04-12 07:49:31.412150+00:00
16.0,0.0,52.0,2024-04-12 07:49:32.428357+00:00
0.0,0.0,52.0,2024-04-12 07:49:33.483587+00:00
0.0,117.0,53.0,2024-04-12 07:49:34.480064+00:00
0.0,0.0,53.0,2024-04-12 07:49:35.510104+00:00
112.0,0.0,53.0,2024-04-12 07:49:36.404092+00:00
363.0,0.0,53.0,2024-04-12 07:49:37.548156+00:00
371.0,0.0,53.0,2024-04-12 07:49:38.573679+00:00
