accel_value,speed,timestamp
0,0,2024-04-12 07:45:16.330447+00:00
0,0,2024-04-12 07:45:17.248941+00:00
0,0,2024-04-12 07:45:18.379812+00:00
0,0,2024-04-12 07:45:19.403931+00:00
0,0,2024-04-12 07:45:20.429675+00:00
0,0,2024-04-12 07:45:21.354020+00:00
0,0,2024-04-12 07:45:22.236052+00:00
0,0,2024-04-12 07:45:23.300513+00:00
0,0,2024-04-12 07:45:24.232033+00:00
0,0,2024-04-12 07:45:25.245321+00:00
0,0,2024-04-12 07:45:26.262598+00:00
0,0,2024-04-12 07:45:27.297843+00:00
0,0,2024-04-12 07:45:28.316649+00:00
0,0,2024-04-12 07:45:29.439900+00:00
0,0,2024-04-12 07:45:30.256294+00:00
0,0,2024-04-12 07:45:31.433800+00:00
0,0,2024-04-12 07:45:32.309695+00:00
0,0,2024-04-12 07:45:33.331731+00:00
0,0,2024-04-12 07:45:34.355781+00:00
0,0,2024-04-12 07:45:35.380630+00:00
0,0,2024-04-12 07:45:36.300828+00:00
0,0,2024-04-12 07:45:37.429282+00:00
0,0,2024-04-12 07:45:38.244554+00:00
0,0,2024-04-12 07:45:39.329236+00:00
0,0,2024-04-12 07:45:40.295725+00:00
0,0,2024-04-12 07:45:41.420438+00:00
0,0,2024-04-12 07:45:42.445689+00:00
0,0,2024-04-12 07:45:43.260753+00:00
0,0,2024-04-12 07:45:44.234381+00:00
0,0,2024-04-12 07:45:45.233446+00:00
0,0,2024-04-12 07:45:46.229268+00:00
0,0,2024-04-12 07:45:47.254689+00:00
0,0,2024-04-12 07:45:48.283108+00:00
0,0,2024-04-12 07:45:49.236530+00:00
0,0,2024-04-12 07:45:50.535774+00:00
0,0,2024-04-12 07:45:51.248460+00:00
0,0,2024-04-12 07:45:52.272019+00:00
0,0,2024-04-12 07:45:53.304297+00:00
0,0,2024-04-12 07:45:55.543548+00:00
0,0,2024-04-12 07:45:55.544546+00:00
0,0,2024-04-12 07:45:56.265487+00:00
0,0,2024-04-12 07:45:57.291284+00:00
0,0,2024-04-12 07:45:58.514506+00:00
0,0,2024-04-12 07:45:59.337090+00:00
0,0,2024-04-12 07:46:00.260775+00:00
0,0,2024-04-12 07:46:01.287937+00:00
0,0,2024-04-12 07:46:02.310728+00:00
0,0,2024-04-12 07:46:03.436903+00:00
0,0,2024-04-12 07:46:04.231932+00:00
0,0,2024-04-12 07:46:05.276550+00:00
0,0,2024-04-12 07:46:06.297683+00:00
0,0,2024-04-12 07:46:07.429637+00:00
0,0,2024-04-12 07:46:08.248490+00:00
0,0,2024-04-12 07:46:09.271795+00:00
0,0,2024-04-12 07:46:10.230348+00:00
0,0,2024-04-12 07:46:11.428606+00:00
0,0,2024-04-12 07:46:12.242824+00:00
0,0,2024-04-12 07:46:13.266831+00:00
0,0,2024-04-12 07:46:14.304397+00:00
0,0,2024-04-12 07:46:15.313641+00:00
0,0,2024-04-12 07:46:16.341999+00:00
0,0,2024-04-12 07:46:17.365050+00:00
0,0,2024-04-12 07:46:18.391741+00:00
0,0,2024-04-12 07:46:19.414586+00:00
0,0,2024-04-12 07:46:20.437415+00:00
0,0,2024-04-12 07:46:21.256955+00:00
0,0,2024-04-12 07:46:22.270681+00:00
0,0,2024-04-12 07:46:23.406689+00:00
0,0,2024-04-12 07:46:24.430702+00:00
0,0,2024-04-12 07:46:25.233562+00:00
0,0,2024-04-12 07:46:26.273204+00:00
0,0,2024-04-12 07:46:27.296428+00:00
0,0,2024-04-12 07:46:28.346857+00:00
0,0,2024-04-12 07:46:29.321616+00:00
101,0,2024-04-12 07:46:30.232121+00:00
0,0,2024-04-12 07:46:31.227411+00:00
112,0,2024-04-12 07:46:32.414025+00:00
0,1,2024-04-12 07:46:33.437930+00:00
13,5,2024-04-12 07:46:34.259245+00:00
138,5,2024-04-12 07:46:35.281209+00:00
101,6,2024-04-12 07:46:36.314246+00:00
53,8,2024-04-12 07:46:37.334033+00:00
0,8,2024-04-12 07:46:38.257912+00:00
126,12,2024-04-12 07:46:39.482948+00:00
72,17,2024-04-12 07:46:40.405268+00:00
48,17,2024-04-12 07:46:41.528045+00:00
9,24,2024-04-12 07:46:42.241719+00:00
0,30,2024-04-12 07:46:43.262349+00:00
111,30,2024-04-12 07:46:44.225893+00:00
0,35,2024-04-12 07:46:45.312871+00:00
5,39,2024-04-12 07:46:46.337797+00:00
144,39,2024-04-12 07:46:47.263974+00:00
144,43,2024-04-12 07:46:48.392263+00:00
59,45,2024-04-12 07:46:49.411882+00:00
0,45,2024-04-12 07:46:50.428150+00:00
0,48,2024-04-12 07:46:51.253471+00:00
100,50,2024-04-12 07:46:52.274428+00:00
0,50,2024-04-12 07:46:53.306922+00:00
0,51,2024-04-12 07:46:54.327209+00:00
0,52,2024-04-12 07:46:55.351176+00:00
0,52,2024-04-12 07:46:56.379550+00:00
0,51,2024-04-12 07:46:57.403401+00:00
0,46,2024-04-12 07:46:58.425152+00:00
0,46,2024-04-12 07:46:59.450407+00:00
0,36,2024-04-12 07:47:00.252888+00:00
0,27,2024-04-12 07:47:01.292096+00:00
0,27,2024-04-12 07:47:02.324258+00:00
0,18,2024-04-12 07:47:03.483993+00:00
0,10,2024-04-12 07:47:04.264396+00:00
0,10,2024-04-12 07:47:05.290838+00:00
0,5,2024-04-12 07:47:06.321522+00:00
0,3,2024-04-12 07:47:07.329059+00:00
0,3,2024-04-12 07:47:08.350228+00:00
0,2,2024-04-12 07:47:09.382865+00:00
0,2,2024-04-12 07:47:10.445204+00:00
0,2,2024-04-12 07:47:11.326015+00:00
0,1,2024-04-12 07:47:12.243565+00:00
0,1,2024-04-12 07:47:13.282311+00:00
0,1,2024-04-12 07:47:14.295094+00:00
0,1,2024-04-12 07:47:15.320617+00:00
0,1,2024-04-12 07:47:16.238868+00:00
0,1,2024-04-12 07:47:17.270370+00:00
0,1,2024-04-12 07:47:18.286266+00:00
